udid,observationTime,timeDiff,eclipseType,maxEclipse,timeSubmit,totalBegins,obscuration,flying,hear,perchedAlone,perchedOthers,sing,sitting,swimming,walking,other,eating,obscuration_bins,timeDiff_bins
57E8CE81-5C68-450C-AF95-467ED7ECD5E2,during,0 days 00:11:31.531489,partial,2024-04-08 15:17:00,2024-04-08 15:28:31.531489,2024-04-08 14:01:00,0.999,False,False,False,True,False,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
57E8CE81-5C68-450C-AF95-467ED7ECD5E2,during,0 days 00:02:34.626507,partial,2024-04-08 15:17:00,2024-04-08 15:19:34.626507,2024-04-08 14:01:00,0.999,False,False,False,False,False,False,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
57b69e7bcd375538,before,0 days 01:45:42.843868,partial,2024-04-08 13:49:00,2024-04-08 12:03:17.156132,2024-04-08 12:31:00,0.972,False,False,False,True,True,True,False,False,False,False,0.9-0.99,"(0 days 01:30:00, 0 days 02:00:00]"
57b69e7bcd375538,before,0 days 01:47:13.854418,partial,2024-04-08 13:49:00,2024-04-08 12:01:46.145582,2024-04-08 12:31:00,0.972,True,False,False,False,False,False,False,False,False,False,0.9-0.99,"(0 days 01:30:00, 0 days 02:00:00]"
57b69e7bcd375538,before,0 days 01:56:55.738559,partial,2024-04-08 13:49:00,2024-04-08 11:52:04.261441,2024-04-08 12:31:00,0.972,True,False,False,False,False,True,False,False,False,False,0.9-0.99,"(0 days 01:30:00, 0 days 02:00:00]"
57b69e7bcd375538,during,0 days 00:01:44.133316,partial,2024-04-08 13:49:00,2024-04-08 13:47:15.866684,2024-04-08 12:31:00,0.972,False,False,False,True,True,True,False,False,False,False,0.9-0.99,"(0 days 00:00:00, 0 days 00:05:00]"
57b69e7bcd375538,during,0 days 00:01:24.484515,partial,2024-04-08 13:49:00,2024-04-08 13:50:24.484515,2024-04-08 12:31:00,0.972,False,False,False,False,False,False,False,False,False,False,0.9-0.99,"(0 days 00:00:00, 0 days 00:05:00]"
57b69e7bcd375538,during,0 days 00:05:32.790920,partial,2024-04-08 13:49:00,2024-04-08 13:54:32.790920,2024-04-08 12:31:00,0.972,True,False,False,False,True,False,False,False,False,False,0.9-0.99,"(0 days 00:05:00, 0 days 00:15:00]"
57b69e7bcd375538,during,0 days 01:06:48.595273,partial,2024-04-08 13:49:00,2024-04-08 12:42:11.404727,2024-04-08 12:31:00,0.972,True,False,False,False,False,False,False,False,False,False,0.9-0.99,"(0 days 01:00:00, 0 days 01:30:00]"
589984A3-C852-4DEA-AE9A-E96F33C7C36B,after,0 days 01:30:05.849794500,partial,2024-04-08 11:11:00,2024-04-08 12:41:10.150615,2024-04-08 10:04:00,0.529,False,False,False,False,False,True,False,False,False,False,0-0.8,"(0 days 01:30:00, 0 days 02:00:00]"
589984A3-C852-4DEA-AE9A-E96F33C7C36B,after,0 days 01:29:30.348646,partial,2024-04-08 11:11:00,2024-04-08 12:40:30.348646,2024-04-08 10:04:00,0.529,True,False,False,False,False,False,False,False,False,False,0-0.8,"(0 days 01:00:00, 0 days 01:30:00]"
58B4435C-32E8-4ED0-BE66-0CF4AD287200,before,0 days 02:11:35.445997,partial,2024-04-08 15:10:00,2024-04-08 12:58:24.554003,2024-04-08 13:53:00,0.998,False,False,False,False,False,False,False,False,False,True,1,"(0 days 02:00:00, 0 days 04:00:00]"
58B4435C-32E8-4ED0-BE66-0CF4AD287200,during,0 days 01:13:55.775153,partial,2024-04-08 15:10:00,2024-04-08 13:56:04.224847,2024-04-08 13:53:00,0.998,True,False,False,True,True,True,False,False,False,True,1,"(0 days 01:00:00, 0 days 01:30:00]"
58B4435C-32E8-4ED0-BE66-0CF4AD287200,during,0 days 00:11:11.798526500,partial,2024-04-08 15:10:00,2024-04-08 14:53:55.332362,2024-04-08 13:53:00,0.998,True,False,False,False,True,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
58B4435C-32E8-4ED0-BE66-0CF4AD287200,during,0 days 00:16:54.149477,partial,2024-04-08 15:10:00,2024-04-08 14:53:05.850523,2024-04-08 13:53:00,0.998,False,False,False,True,False,False,False,False,False,True,1,"(0 days 00:15:00, 0 days 01:00:00]"
58B4435C-32E8-4ED0-BE66-0CF4AD287200,during,0 days 00:32:50.131742,partial,2024-04-08 15:10:00,2024-04-08 14:37:09.868258,2024-04-08 13:53:00,0.998,False,False,False,False,False,True,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
